# format:aut|changed|aut_name|org_id|source
307|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
308|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
309|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
310|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
311|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
312|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
313|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
314|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
315|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
316|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
317|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
318|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
319|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
320|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
321|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
322|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
323|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
324|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
325|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
326|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
327|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
328|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
329|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
330|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
331|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
332|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
333|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
334|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
335|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
336|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
337|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
338|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
339|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
340|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
341|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
342|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
343|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
344|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
345|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
346|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
347|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
348|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
349|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
350|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
351|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
352|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
353|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
